Make,Color,Odometer(Miles),Doors,Price
Toyota,Black,15963.0,5.0,"$22,803.00"
Honda,White,65265.0,4.0,"$6,768.00"
Toyota,White,58803.0,4.0,"$8,662.00"
Honda,Red,79033.0,4.0,"$5,678.00"
Nissan,White,226163.0,4.0,"$3,929.00"
Toyota,White,60152.0,4.0,"$6,513.00"
BMW,Black,,5.0,"$21,287.00"
Toyota,Blue,59652.0,3.0,"$7,548.00"
Nissan,White,218857.0,4.0,"$4,470.00"
Toyota,Blue,53355.0,4.0,"$5,386.00"
,White,30359.0,4.0,"$8,708.00"
Toyota,Blue,64305.0,4.0,
Toyota,White,67270.0,4.0,"$7,736.00"
Toyota,Blue,64118.0,3.0,"$7,179.00"
Honda,Blue,56917.0,4.0,"$7,065.00"
Toyota,White,,4.0,"$8,011.00"
Nissan,,,4.0,"$7,173.00"
Toyota,Blue,61387.0,3.0,"$8,183.00"
BMW,Black,7355.0,5.0,"$22,632.00"
Honda,White,67599.0,4.0,"$7,908.00"
BMW,Black,11472.0,5.0,"$22,562.00"
Toyota,White,,4.0,"$8,047.00"
Toyota,White,148082.0,4.0,"$5,863.00"
Toyota,White,,4.0,"$4,611.00"
Toyota,Green,65607.0,4.0,"$5,006.00"
Toyota,White,31019.0,4.0,"$11,672.00"
Toyota,Green,63359.0,4.0,"$5,302.00"
Honda,White,67503.0,4.0,
Toyota,Green,53605.0,4.0,"$7,588.00"
,Black,57611.0,5.0,"$22,688.00"
Toyota,White,,4.0,"$3,956.00"
Toyota,White,146385.0,4.0,"$3,297.00"
Toyota,Blue,51209.0,,"$6,159.00"
Toyota,White,211806.0,4.0,"$9,034.00"
Toyota,Blue,57697.0,3.0,"$6,996.00"
Toyota,White,151223.0,4.0,"$4,870.00"
Nissan,White,211742.0,4.0,"$2,970.00"
Honda,White,61530.0,4.0,"$6,751.00"
BMW,Black,9332.0,5.0,"$21,916.00"
Toyota,Green,58904.0,4.0,
Toyota,White,151517.0,4.0,"$9,222.00"
Honda,Red,81050.0,,"$6,282.00"
,Blue,62784.0,4.0,"$7,322.00"
Honda,Blue,48990.0,4.0,"$7,294.00"
Toyota,Green,60660.0,4.0,"$3,873.00"
Toyota,White,63996.0,4.0,"$5,413.00"
BMW,Black,16295.0,5.0,"$22,130.00"
