Make,Colour,Odometer,Doors,Price
Toyota,Black,15963.0,5.0,22803.0
Honda,White,65265.0,4.0,6768.0
Toyota,White,58803.0,4.0,8662.0
Honda,Red,79033.0,4.0,5678.0
Nissan,White,226163.0,4.0,3929.0
Toyota,White,60152.0,4.0,6513.0
BMW,Black,,5.0,21287.0
Toyota,Blue,59652.0,3.0,7548.0
Nissan,White,218857.0,4.0,4470.0
Toyota,Blue,53355.0,4.0,5386.0
,White,30359.0,4.0,8708.0
Toyota,Blue,64305.0,4.0,
Toyota,White,67270.0,4.0,7736.0
Toyota,Blue,64118.0,3.0,7179.0
Honda,Blue,56917.0,4.0,7065.0
Toyota,White,,4.0,8011.0
Nissan,,,4.0,7173.0
Toyota,Blue,61387.0,3.0,8183.0
BMW,Black,7355.0,5.0,22632.0
Honda,White,67599.0,4.0,7908.0
BMW,Black,11472.0,5.0,22562.0
Toyota,White,,4.0,8047.0
Toyota,White,148082.0,4.0,5863.0
Toyota,White,,4.0,4611.0
Toyota,Green,65607.0,4.0,5006.0
Toyota,White,31019.0,4.0,11672.0
Toyota,Green,63359.0,4.0,5302.0
Honda,White,67503.0,4.0,
Toyota,Green,53605.0,4.0,7588.0
,Black,57611.0,5.0,22688.0
Toyota,White,,4.0,3956.0
Toyota,White,146385.0,4.0,3297.0
Toyota,Blue,51209.0,,6159.0
Toyota,White,211806.0,4.0,9034.0
Toyota,Blue,57697.0,3.0,6996.0
Toyota,White,151223.0,4.0,4870.0
Nissan,White,211742.0,4.0,2970.0
Honda,White,61530.0,4.0,6751.0
BMW,Black,9332.0,5.0,21916.0
Toyota,Green,58904.0,4.0,
Toyota,White,151517.0,4.0,9222.0
Honda,Red,81050.0,,6282.0
,Blue,62784.0,4.0,7322.0
Honda,Blue,48990.0,4.0,7294.0
Toyota,Green,60660.0,4.0,3873.0
Toyota,White,63996.0,4.0,5413.0
BMW,Black,16295.0,5.0,22130.0
Toyota,White,,4.0,6664.0
Toyota,Blue,53424.0,3.0,7246.0
Honda,White,64101.0,4.0,7333.0
Toyota,White,28307.0,4.0,
Honda,White,54810.0,4.0,7647.0
Honda,White,51791.0,4.0,5218.0
Toyota,Blue,66560.0,3.0,6813.0
BMW,Black,8874.0,5.0,22513.0
Toyota,Blue,55657.0,3.0,5755.0
BMW,Black,7322.0,4.0,6601.0
Toyota,White,59232.0,4.0,3815.0
,Blue,70098.0,3.0,6963.0
Toyota,Green,52551.0,4.0,6110.0
Honda,Red,93670.0,,3820.0
Toyota,Blue,,3.0,7327.0
Toyota,Blue,53006.0,3.0,5759.0
Toyota,Blue,61803.0,3.0,8524.0
Nissan,White,216076.0,4.0,4153.0
Honda,,92719.0,4.0,5184.0
Toyota,White,58706.0,,6932.0
Toyota,White,24162.0,4.0,9538.0
Toyota,Red,92006.0,4.0,5866.0
Toyota,,57109.0,3.0,4809.0
Toyota,Blue,56547.0,4.0,7075.0
Nissan,White,215493.0,4.0,3986.0
,Blue,60541.0,3.0,6564.0
Toyota,Green,67009.0,,4918.0
Toyota,White,54900.0,4.0,7641.0
Toyota,White,58432.0,4.0,7514.0
Toyota,White,50675.0,,9298.0
Toyota,White,155997.0,4.0,5639.0
BMW,Black,54771.0,5.0,21913.0
Toyota,White,48780.0,4.0,6029.0
Honda,Red,84991.0,4.0,7998.0
Toyota,White,35818.0,4.0,7679.0
Honda,White,62373.0,4.0,4529.0
Toyota,White,63278.0,4.0,7149.0
Toyota,White,,4.0,8384.0
BMW,Black,13103.0,5.0,21551.0
Honda,Blue,70038.0,4.0,6771.0
Honda,White,61785.0,4.0,7160.0
Toyota,White,57180.0,4.0,4340.0
Nissan,White,206073.0,4.0,4058.0
Toyota,,55016.0,4.0,7236.0
Nissan,White,209195.0,4.0,4039.0
Honda,White,55132.0,4.0,8932.0
Toyota,White,30594.0,4.0,5976.0
